Date : 2024-01-16 21:19:40
Directory : d:\Code\JavGameTest
Total : 81 files,  2995 codes, 106 comments, 638 blanks, all 3739 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         64 |      2,654 |        106 |        559 |      3,319 |
| Markdown |         13 |        336 |          0 |         78 |        414 |
| JSON     |          3 |          3 |          0 |          0 |          3 |
| Ini      |          1 |          2 |          0 |          1 |          3 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |         81 |      2,995 |        106 |        638 |      3,739 |
| . (Files)                                                                   |          1 |          1 |          0 |          0 |          1 |
| .VSCodeCounter                                                              |         15 |        338 |          0 |         78 |        416 |
| .VSCodeCounter\2024-01-05_13-27-47                                          |          5 |         66 |          0 |         26 |         92 |
| .VSCodeCounter\2024-01-06_16-50-44                                          |          5 |        146 |          0 |         26 |        172 |
| .VSCodeCounter\2024-01-06_23-18-14                                          |          5 |        126 |          0 |         26 |        152 |
| bin                                                                         |         37 |        850 |         52 |          9 |        911 |
| bin\entities                                                                |          5 |        173 |         51 |          3 |        227 |
| bin\gamestates                                                              |          5 |        152 |          0 |          3 |        155 |
| bin\inputs                                                                  |          2 |         63 |          0 |          1 |         64 |
| bin\levels                                                                  |          2 |         33 |          0 |          0 |         33 |
| bin\main                                                                    |          5 |        127 |          0 |          2 |        129 |
| bin\ui                                                                      |          6 |        163 |          1 |          0 |        164 |
| bin\utilz                                                                   |         12 |        139 |          0 |          0 |        139 |
| res                                                                         |          1 |          2 |          0 |          1 |          3 |
| res\Health Bar Asset Pack 2 by Adwit Rahman                                 |          1 |          2 |          0 |          1 |          3 |
| src                                                                         |         27 |      1,804 |         54 |        550 |      2,408 |
| src\entities                                                                |          5 |        473 |         15 |        116 |        604 |
| src\gamestates                                                              |          5 |        306 |          0 |        105 |        411 |
| src\inputs                                                                  |          2 |        113 |          5 |         30 |        148 |
| src\levels                                                                  |          2 |         50 |          1 |         21 |         72 |
| src\main                                                                    |          4 |        173 |          6 |         81 |        260 |
| src\ui                                                                      |          6 |        412 |          6 |        139 |        557 |
| src\utilz                                                                   |          3 |        277 |         21 |         58 |        356 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                    | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Code\JavGameTest\.VSCodeCounter\2024-01-05_13-27-47\details.md           | Markdown |         22 |          0 |          6 |         28 |
| d:\Code\JavGameTest\.VSCodeCounter\2024-01-05_13-27-47\diff-details.md      | Markdown |          9 |          0 |          6 |         15 |
