Date : 2024-01-17 23:50:48
Directory : d:\Code\JavGameTest
Total : 94 files,  3851 codes, 86 comments, 753 blanks, all 4690 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         71 |      3,272 |         86 |        647 |      4,005 |
| Markdown |         17 |        571 |          0 |        104 |        675 |
| JSON     |          4 |          4 |          0 |          0 |          4 |
| Ini      |          2 |          4 |          0 |          2 |          6 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |         94 |      3,851 |         86 |        753 |      4,690 |
| . (Files)                                                                   |          1 |          1 |          0 |          0 |          1 |
| .VSCodeCounter                                                              |         20 |        574 |          0 |        104 |        678 |
| .VSCodeCounter\2024-01-05_13-27-47                                          |          5 |         66 |          0 |         26 |         92 |
| .VSCodeCounter\2024-01-06_16-50-44                                          |          5 |        146 |          0 |         26 |        172 |
| .VSCodeCounter\2024-01-06_23-18-14                                          |          5 |        126 |          0 |         26 |        152 |
| .VSCodeCounter\2024-01-16_21-19-40                                          |          5 |        236 |          0 |         26 |        262 |
| bin                                                                         |         42 |      1,053 |         23 |          6 |      1,082 |
| bin\Health Bar Asset Pack 2 by Adwit Rahman                                 |          1 |          2 |          0 |          1 |          3 |
| bin\entities                                                                |          5 |        267 |          0 |          1 |        268 |
| bin\gamestates                                                              |          5 |        155 |         22 |          1 |        178 |
| bin\inputs                                                                  |          2 |         61 |          0 |          1 |         62 |
| bin\levels                                                                  |          2 |         33 |          0 |          0 |         33 |
| bin\main                                                                    |          5 |        130 |          0 |          2 |        132 |
| bin\ui                                                                      |          9 |        244 |          1 |          0 |        245 |
| bin\utilz                                                                   |         13 |        161 |          0 |          0 |        161 |
| res                                                                         |          1 |          2 |          0 |          1 |          3 |
| res\Health Bar Asset Pack 2 by Adwit Rahman                                 |          1 |          2 |          0 |          1 |          3 |
| src                                                                         |         30 |      2,221 |         63 |        642 |      2,926 |
| src\entities                                                                |          5 |        645 |         19 |        145 |        809 |
